DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-63,deploy-test-63-69dbbf9564-9m27x,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-78,deploy-test-78-d95ccc96-zxb7q,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-80,deploy-test-80-6bbfddbfc7-m9c8n,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-84,deploy-test-84-5db46c47cc-whcb9,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-23,deploy-test-23-5bd4cbdd88-z5n85,2000.0,0.0,3000.0,0.0,2000.0
deploy-test-43,deploy-test-43-5fc8c9f886-wjwqv,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-46,deploy-test-46-76c6df447f-4vhgg,3000.0,0.0,3000.0,0.0,1000.0
deploy-test-21,deploy-test-21-6f6844cf86-g9vqt,2000.0,0.0,1000.0,0.0,2000.0
deploy-test-28,deploy-test-28-66d8f87c9f-cwjm2,3000.0,0.0,2000.0,0.0,0.0
deploy-test-31,deploy-test-31-5488f47c4f-mzdh4,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-37,deploy-test-37-589c55fb95-6vk6m,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-38,deploy-test-38-74697578cb-wgwcw,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-55,deploy-test-55-6699cb98f5-hvxgm,3000.0,1000.0,2000.0,0.0,1000.0
deploy-test-58,deploy-test-58-7b5fcbd7fd-pqhr4,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-64,deploy-test-64-5f7bd98d8c-2xfgx,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-35,deploy-test-35-b489b57c-x4zbt,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-40,deploy-test-40-5869b5dddf-7wgt5,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-46,deploy-test-46-76c6df447f-j2gmr,3000.0,0.0,2000.0,0.0,2000.0
deploy-test-69,deploy-test-69-566cb888bb-pwszn,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-92,deploy-test-92-7796c676fb-6qbzh,5000.0,0.0,2000.0,0.0,2000.0
deploy-test-12,deploy-test-12-5478757db8-rnp8t,1000.0,0.0,3000.0,0.0,0.0
deploy-test-15,deploy-test-15-755dfbc4b7-7mbkh,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-29,deploy-test-29-9b548c4db-d566d,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-100,deploy-test-100-857b55775d-ctrgv,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-30,deploy-test-30-7b96bcc4d8-kxqxr,2000.0,0.0,3000.0,0.0,2000.0
deploy-test-57,deploy-test-57-78c788676f-ppn79,4000.0,0.0,2000.0,0.0,2000.0
deploy-test-64,deploy-test-64-5f7bd98d8c-7vffg,4000.0,0.0,1000.0,0.0,0.0
deploy-test-67,deploy-test-67-7bdb95c8d-7fvbw,4000.0,0.0,2000.0,0.0,2000.0
deploy-test-72,deploy-test-72-8f44dfb54-zm5nh,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-76,deploy-test-76-7799b87fd-xgthw,5000.0,0.0,2000.0,0.0,1000.0
