framework,namespace,pod,container,type,network_type,value
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,transmit_bytes,kubernetes,245.7849938828546
karmada,kube-prometheus-stack,kube-prometheus-stack-operator-75bc89f54b-c2p2r,POD,transmit_packets,kubernetes,0.9908323214417893
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,received_bytes,kubernetes,258796.77537552407
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,received_packets,kubernetes,3936.304258945615
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,transmit_bytes,kubernetes,279343.6685387276
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-46nqv,POD,transmit_packets,kubernetes,3950.1987905037786
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,received_bytes,kubernetes,172151.91949103636
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,received_packets,kubernetes,2657.06183307489
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,transmit_bytes,kubernetes,186243.90444005447
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,transmit_packets,kubernetes,2667.490265604809
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,received_bytes,kubernetes,408923.85531129834
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,received_packets,kubernetes,5390.259072300558
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,transmit_bytes,kubernetes,433766.01390392083
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,transmit_packets,kubernetes,5379.1248680051
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,received_bytes,kubernetes,444412.8711667417
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,received_packets,kubernetes,5501.609620957975
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,transmit_bytes,kubernetes,422249.259793749
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,transmit_packets,kubernetes,5485.48274793538
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,received_bytes,kubernetes,252467.6717418176
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,received_packets,kubernetes,3916.573788410933
